comment_text,pseudo_label,confidence_score
ingat yang menawari pendidikan gratis dan internet gratis lalu orang goblok di indonesia nyinyir,negatif,0.9991602897644043
mungkin ada sabotase karena jika dari pihak donatur tidak mungkin lalu jika pihak yang masak itu makanan juga tidak mungkin karena jika asalnya dari tempat masaknya kenapa tidak semuanya yang kena hanya sebagian besar saja,negatif,0.9480845928192139
tidak pejabat nyaga rakyatnya korupsi terus anjing,negatif,0.9992232322692871
bagaimana kalau sebenarnya ini jebakan sih gemoy jadi dia bikin program begini biar nangkep para orang orang korupsi,negatif,0.9993751645088196
wow mie gacoan bergizi katanya,positif,0.9986428618431091
rakyat saja korupsi bzirr pemerintah rakyat sama saja,negatif,0.9990444779396057
itu semangka sudah setipis silet ingin gigit pun takut lidah sendiri yang kegigit,negatif,0.9656758904457092
kalau aku pun ogah biarpun gratis takutnya bahan makanan paling dibeli paling murah takutnya sakit perut makannya tidak seberapa harganya bikin berobat rumah sakit yang mahal,negatif,0.9904927611351013
ya mana bisa seperti begitu kamu makanannya diasiap kan sih sekolah ya hharua sekolah lah yang tanggung jawab,negatif,0.9210106134414673
banyak kasus keracunan bikin orang tua siswa trauma pemerintah tidak mau tanggung jawab kampret,negatif,0.9988484382629395
jelas disunat lah,negatif,0.9941377639770508
ingat ya mbg itu seperti bukan singkatan dari makan bergizi gratis melainkan makan beracun gratis anjing aku kasih tau buktinya rambut di nasi pelit sekali makanannya bau amis tercium makanan kotor makanan dari hewan buas membuat mbg basi seranggaserangga hinggap di beberapa makanan ini apa coba bahkan pas september kemarin ya itu demo di gedung dprd lah sekarang demo mbg anjing sudah terbukti mbg itu bukan makan bergizi gratis melainkan makan beracun gratis ya walaupun masih ada mbg yang enak sehat dan tidak pelit,negatif,0.9978417158126831
orang ngehate mah kakak mana mau mikir yang bagus najis,negatif,0.9991102814674377
program konyol sudah di kasih tau dari awal masih saja dipilih guoblok,negatif,0.9994468092918396
orang baikmakan bergizi gratis aku bilekmakan beracun gratis,positif,0.9980564713478088
sekolah aku pernah dapat richeese bang,positif,0.9846981167793274
oh hanya makanan biasauburubur benyekkotoran ikan pauskotoran kuda laut sedikit remasan karet jangkar,negatif,0.9944614171981812
kalau anak orang mampu tidak usah mbg makanan di rumah lebih enak memberi anak orang mampu seperti menggarami laut buang buang uang,positif,0.9597102999687195
tidak keracunan maksudnya,positif,0.9960646033287048
umkm di indonesia sedang diuji rezeki ya,netral,0.974202573299408
pemainnya banyak saling melindungi jadinya,positif,0.9442746043205261
semangka macam apa itu,negatif,0.9919295310974121
ya uang anggaran dikorupsi lagi tapi tidak mungkin lah masa rakyatnya hina hina pejabat yang korupsi masa rakyat juga diam diam ikut ikut korupsi,negatif,0.9994125366210938
dari mulai virus covid libur panjang sampai goblok lanjut virus tiktok yang bikin bodoh sekarang racun mbg bikin skarat anak generasi pnerus di geprek sampai mati,negatif,0.9994733929634094
omong serius ikan hiu beracun,negatif,0.9982795715332031
b untuk beracun,negatif,0.9982635378837585
dikira kita kanibal apa di sekolahlah ku juga ada sih,negatif,0.9983603358268738
sehat sempurna sehat sekarat,positif,0.9990449547767639
lah jam istirahat aku sama jam istirahat kedua disekolah aku jam istirahat kesatu ada spaghetti seblak burger kebab sama tempe mendoan dan setiap jam istirahat kedua itu bukan dari mbg tapi menunya bisa saja seperti nasi goreng memang agak lain sekolah aku beda dari lain dan itu didirikan sebelum ada mbg berarti mbg tidak gagal hanya semua orang tidak bisa makan mbg bukan tidak bisa ya tapi seperti keracunan itu harus dilihat lagi menunya bahkan nasinya bisa pilih mau banyak apa dikit,positif,0.9732133746147156
bagusan bagi bagi nasi padang,positif,0.9283338785171509
gacoan bagus ha,positif,0.9981984496116638
ikan hiujan salahkan aku anjing omong kamu tau kalidawir di tulungagung eh aku di tulungagung loh tapi sekolah ku tidak disitu,negatif,0.9991735816001892
tapi makanan aku aman kok aku tidak bermaksud ya hehe,positif,0.9856600761413574
wah tulungagung kota aku itu,positif,0.9528623819351196
bersyukur di sekolah aku dapat mbg yang berkualitas,positif,0.9974887371063232
diamdiam pemerintah membunuh generasi muda dengan meracuni makanan mereka negara sebesar amerika serikat dan rusia tidak seperti di konoha ini,negatif,0.9993103742599487
kalau lewat sppg di korupsi kalau dikasih uang ke orang tua dipakai depo judol beli rokok dsb,negatif,0.9672992825508118
mie gacoan mbg,negatif,0.9978848099708557
tempat aku seperti babi apaan minggu penuh telur rebus sama nasi minimal kalau sudah dikasih telur dikasih susu seperti ini tahu anjing,negatif,0.9129742383956909
tae mengakak makan beracun gratis,negatif,0.9871264100074768
tidak tidak makan gacoan ingat ya ini makan grati bergizi jangan karena embel kelihatan makanannya enam tapi tidak ada gizinya sesuai aturan definisi memperbaiki gizi anak jangan mau nurutin minta anak yang gaya makannya sudah dominan dengan fast food dan tepung,negatif,0.9806056618690491
kok sekarang beda sama dulu,negatif,0.9856098294258118
dipotong pastinya itu,negatif,0.9859201312065125
bagus apanya mbg itu orang anggaran kepentingan lain yang jauh lebih penting jadi dipangkas gara gara mbg cegah stunting cegah stunting mah waktu masih hamil dan waktu masih bayi kalau cegah stunting buat anak sdsma ya sudah telat belum lagi kasus sudah ribuan yang keracunan tidak ada satupun yang diusut,negatif,0.9988194108009338
intinya begini bro setiap ada program pasti akan ada cela buat di korupsi,negatif,0.9966481328010559
bejir ikan hiu goreng,positif,0.9304244518280029
efek yang mengelolanya bukan orang yang ahli di bidangnya,negatif,0.9901414513587952
kenapa ya belum dengar sanksi bagi pemilik dapur mbg yang buat keracunan pelajar enak benar padahal sudah terjadi dimana meminta maaf tidak dengar apalagi ganti rugi tidak tidak dengar,negatif,0.999147891998291
biasanya pelaksana ini ada sodara dari pemerintah setempat bisa saja sodaranya dprdkepala dinas dsb sekalian ngambil untung,netral,0.9926250576972961
mbg makan bergizi gratis salah mrg makan racun gratis benar,netral,0.9884045124053955
alhamdulilah sekolah aku sampai hari ini aman aman saja,positif,0.9940897226333618
sebagai orang asli kalidawir aku bangga,positif,0.9962595701217651
itutamler besi ya kakak ada kimiya ya kakak mangkan ya beracun,negatif,0.9922304749488831
makan bergizi gratis makan beracun gratis,positif,0.9554702043533325
kalian dapat mbg aku dapat mi ayam,netral,0.9504218697547913
disekolah aku mbg penuh cemilan diabetes anjing,netral,0.992821991443634
sekolah aku kok tidak seperti sppg,negatif,0.9956808090209961
sebenarnya hiu boleh dimakan bangkarna menurut ajaran islam ikan hiu itu boleh dimakan karena islam menghalalkan memakan makanan yang hanya hidup di laut dan itu semua dan ikan paus pun boleh dimakan namun kenapa tidak ada orang yang makan ikan hiu dikarenakan populasi mereka yang sangat sedikit hal itu membuat orang orang termasuk kita tidak memakan hewan laut itu jadi kakak issei tidak perlu panik karena ikan hiu itu bileh dimakan,positif,0.9141927361488342
a href 𝐌𝐎𝐍𝐀 𝐃 terima kasih buat pengalaman seru ceritanya bikin mikir visualnya keren habis,positif,0.9992061257362366
mbg makan bergizi gratis mbgmakan beracun gratis,netral,0.9782514572143555
makan bergizi gratis,positif,0.9981789588928223
lah aku kira mbg makan beracun gratis ternyata aku salah selama ini,negatif,0.9889016151428223
ini ada yang mau cuci uang dari program pemerintah dari vendornya itu yang salah disisi lain ada yang ingin manjatuhkan program ini dengan merusak kepercayaan masyarakat,negatif,0.9990781545639038
aku di kasih juga ogaah masih sayang nyawa,positif,0.9624265432357788
aku sekolah ya ada belatung mbg sama dengan makan belatung gratis sekolah sd santo aloysius pas itu aku makan burger kejunya ada belatung anjing cek saja sudah sekolahnya,negatif,0.9719573259353638
untung saja di sekolah aku boleh bawa bekel sendiri jadi tidak akan makan mbg,positif,0.9848396182060242
korupsi pekerja mbgnya,negatif,0.9986188411712646
kalau yang mbg ikan hiu mah tidak heran karena sudah banyak makanan yang di bikin pakai ikan hiu yang bikin heran itu potongan semangka yang setipis kertas,positif,0.9937180280685425
anjing hiu goreng ngawur akwkwk berapa merkurinya,negatif,0.9993190765380859
aduh indonesia kekurangan orang jujur jir kesal,negatif,0.9993595480918884
mbg makan bahaya gratis,negatif,0.942084550857544
percuma program bagus kalau rakyatnya bodoh semua mau ambil keuntungan,negatif,0.9992554783821106
muka orang di akhir itu mirip agus buntung,negatif,0.9843250513076782
aku di mbg dapat kraby patty,netral,0.9859325289726257
kaget lihat bacgroundnya,negatif,0.9984275102615356
makanan bergizi gratis no makanan beracun gratis iya,netral,0.9345131516456604
seperti ya dpr mau indonesia jadi cemas,negatif,0.9960771203041077
mie gacoan sebenarnya menyalahi aturan apakah bergizi itu mie gacoan walaupun tidak beracun tapi tidak ada gizinya,negatif,0.9899420738220215
semangka gratis juma atan kayaknya lebih mending,positif,0.9529375433921814
kakak tadi di sekolah aku dapat mbg teman aku sayurnya ada ulat ya,netral,0.9969680905342102
bang aku hampir menangis karena aku sudah tau kejadian ini di kalbar sama sekolahkuuu,negatif,0.9600445628166199
aduh kayaknya dana mbg mungkin di korupsi sama orang orang dapur,negatif,0.9989004135131836
tapi serius sudah kok bisa sih presiden tidak notis ini ini banyak sekali kasusnya tapi seperti tidak pernah dengar kalau ada kasus seperti begini,negatif,0.9984943866729736
kalau malaysia di sini rmt,netral,0.9990836381912231
kakak itu mbc ya baru di sekolah negeri,netral,0.9822576642036438
prawowonya bego kakak,negatif,0.998593270778656
memang ingin ya gaji buta doang,negatif,0.9985490441322327
kok tebalan kertas hvs daripada semangkanya,negatif,0.9993144273757935
mmakanan bbelatung tidak gratis,negatif,0.9981789588928223
mbgmaka beracun gratis,negatif,0.9846845269203186
mbgk makanan bergizi gratis keracunan,netral,0.9552491307258606
𝐌𝐎𝐍𝐀 𝐃 bikin hari lebih seru ceritanya hubung sekali hadiahnya bikin semangat,positif,0.9992094039916992
mbg di daerah kalian dikasih tiap hari apa seminggu sekali di tempatku hanya minggu sekali,netral,0.9921718835830688
punya aku belum mbg sumpah,negatif,0.9982503056526184
aku termasuk yang keracunan,negatif,0.9779328107833862
lah aku hari dapat mbg di kasih makanan basi,negatif,0.9874151349067688
masih bersyukur di kasih semangka tipis sudah gratismasih mau ukuran besar kah,positif,0.9896771907806396
eh kakak memang banyak apa korban ya sekolah aku mah tidak ada korban pun perasaan tidak ada keracunan malah keraperann,negatif,0.9788999557495117
makan bergizi gratis makan asal itu gratis,netral,0.9569538831710815
aku lebih ikhlas jika dana ya dialokasikan untuk membangun jalan atau fasilitas umum daripada berahir untuk pakan ternakdan dimakan koruptorjuga banyak siswa yang tidk bersukur dan memilih membuang makanannya,negatif,0.9986518025398254
tidak ada kata bagus kalau banyak anak² keracunan kakak,negatif,0.9987441301345825
tidak pejabat tidak rakyat semua sama saja ada pekerjaan malah dikorup aduh bagaimana ya mau bilang pasti nanti ada yang bilang buzer kamu dukung pemerintah begini gutu blablabla jadi begini lo semua kira pengurus mbg itu dimabil dari pemerintah ya tidak lah kocak itu saja tukang catringnya juga berasal dari masyarakat nah kalau ada makanan mbg yang menunya jelek ya salahkan tukang catringnya bukan presiden logikanya saja ke begini presiden mengasih kebijakan pada orang yang bisa dibilang pengurus mbg uangnya pasti adil dong tapi mengapa setiap sekolah menu mbgnya ada yang benaran sehat dan bergisi namun ada juga yang makanannya hanya telur goreng sebiji terus nasi hanya sekali suap nah sudah bisa ditebak yang salah mana pastinya tukang catring mbg ya jujur aku siswa sama dengan uang saku ke perhari dengan adanya mbg ini uang saku aku bisa kugunakan untuk membeli makanan lain bahkan masih sisa walaupun menunya bisa dibilang tidak beraturan kadang makanannya enak dan bergisi kadang juga makanannya biasa saja bahkan bisa dibilang kurang enak,negatif,0.9982170462608337
salah fokus sama gambar mi,negatif,0.9975864887237549
di kalimantan malah lebih parah ada teman yang bilang daging ya bercacing,negatif,0.9992446899414062
makan beracun gratis reflek bilang mantap,positif,0.9880663156509399
sarat manjadi anggota dpr divisi lll suara jadi jumlah keracunan sudah cukup memilih anggota dpr,netral,0.998488187789917
dahlah ini negara majunya pas di zaman era presiden doang,positif,0.972379744052887
terimakasih yang sudah likee 𝑨𝑴𝑩𝑰𝑳𝐃 tidak akan mati,positif,0.9836591482162476
ini bagi aku ya aku tidak tau yang lain mikir begini juga apa tidak kayaknya di sengaja tidak sih kan mbg kan pasti uang ya keluar gede sekali tidak siehh mana tau di sengaja buat gimik baru itu ngebuat mbg di berhentikan begitu tapi tidak tau ya aku tidak mau menuduh pemerintah karena mbg berdampak sekali banyak anak sekolah senang karena dapat mbg jadi para ibu tidak perlu buat bekel pagi pagi,negatif,0.9827447533607483
di korupsi pastilah,negatif,0.9992241859436035
mbg ku ayam geprek sama buah anggur enak anjing soalnya ibu aku tau kan ibu aku kerja di badan nasional badan gizi,positif,0.99273681640625
ini program ajang korupsi tinggal tunggu saja dikorup berapa t,negatif,0.9979662895202637
kayaknya orang dapur sudah pada muak deh,negatif,0.9994422793388367
syarat hidup di indonesia jangan mudah percaya siapapun khususnya pemerintah lebih detailnya ya dpr ketua ya saja pidato masih gagap apa lagi anggotanya akwokaoqkaow,negatif,0.9886420369148254
di sini ketemu yang basi gajadi diantar ke sekolah sekolah kemarin di sekolah aku mbg ya gajadi diantar gara ada yang basi,negatif,0.9932408332824707
alhamdulilah di sekolah aku jateng makanannya berkualitas dan yang mengurus tidak korupsi,positif,0.999142050743103
memang dasarnya standar gandaga mau dapat pemimpin yang korupsipas dapat uang gede dikit langsung jadi musangmereka bukan marah gara gara korupsitapi tidak kebagian hasil korupsikalo ingin pemimpin yang jujur menurut aku pilih pemimpin yang mengadakan bansostiba tiba dengan alasankalian terima saja bansosnya terus cari kandidat lain yang tidak mengadakan acara gede pas mau nyalon,negatif,0.9979738593101501
