author,published_at,text
@camatkaliguwo5666,2025-10-06T16:17:22Z,Kaget kalidawir tulungagung
@reyy_afz34,2025-10-06T13:28:37Z,10000000000000% nyesel pilih Prabowo enak aniess pendidikan gratis kuliah gratis behh bisa masuk sekolah impian tu🤙
@Karis-b,2025-10-06T11:32:17Z,Jirr semangka setipis tisu😂
@habibi3722,2025-10-06T11:03:10Z,di. daerah Kalimantan Selatan Tabalong.  ayam goreng nya berbau busuk dan  juga  telor ayam aja sepegal. harus nya sekolah 🏫 geratis dan saya  sudah  sakit karena MBG dan aku lapor dengan pakai  kertas  dan. aku tulis. kuah nya. Bikin muntah   <br>dan  ada yang kurang air  langsung di <br>jawab 😡😡🤡 dengan cara pakai air. susu sapi
@shadow_milk_cookie182,2025-10-06T10:34:07Z,Bang kalo makanan MBG itu ada racunnya atau gmn. Menurut gw sih kita harus manggil panitia nya dulu trs disuruh cicipin kalo itu racun atau gk. Kalau gk yaudah aman<br><br>Edit: sekian terima gaji🗿🙏🙏
@kamila-rawr,2025-10-06T07:07:26Z,Semangka Fersi kertas 😂
@bimarafqi4998,2025-10-06T07:01:54Z,"indo gitu loh, gedein korup bodo amat anak orang keracunan"
@wildaniim543,2025-10-06T06:46:25Z,Udh kecil tipis pula😂
@Affan.Roblox2,2025-10-06T05:44:56Z,Tapi kalau di aceh emg ada yg makan ikan hiu dan enak
@UdinDin-v1i2l,2025-10-06T05:08:36Z,Hiu goreng😂😂😂😂
@Pogapaskill,2025-10-06T03:44:35Z,"Biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya DPRD,kepala dinas dsb) sekalian ngambil untung"
@AditSaya-lo7jj,2025-10-06T03:30:50Z,"Buset semangka aj d korupsi, hadehh."
@ArthurYohanes,2025-10-06T01:45:07Z,Makanan bergizi gratis❎<br>Makanan beracun gratis✅
@renoroo25,2025-10-06T01:05:52Z,Sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya
