author,published_at,text,clean_text,case_fold_text,punctuation_text,normalized_text,tokens,text_stemmed
@camatkaliguwo5666,2025-10-06T16:17:22Z,Kaget kalidawir tulungagung,Kaget kalidawir tulungagung,kaget kalidawir tulungagung,kaget kalidawir tulungagung,kaget kalidawir tulungagung,"['kaget', 'kalidawir', 'tulungagung']","['kaget', 'kalidawir', 'tulungagung']"
@reyy_afz34,2025-10-06T13:28:37Z,10000000000000% nyesel pilih Prabowo enak aniess pendidikan gratis kuliah gratis behh bisa masuk sekolah impian tu🤙,% nyesel pilih Prabowo enak aniess pendidikan gratis kuliah gratis behh bisa masuk sekolah impian tu,% nyesel pilih prabowo enak aniess pendidikan gratis kuliah gratis behh bisa masuk sekolah impian tu, nyesel pilih prabowo enak aniess pendidikan gratis kuliah gratis behh bisa masuk sekolah impian tu,menyesal pilih prabowo enak aniess pendidikan gratis kuliah gratis behh bisa masuk sekolah impian itu,"['menyesal', 'pilih', 'prabowo', 'enak', 'aniess', 'pendidikan', 'gratis', 'kuliah', 'gratis', 'behh', 'bisa', 'masuk', 'sekolah', 'impian', 'itu']","['sesal', 'pilih', 'prabowo', 'enak', 'aniess', 'didik', 'gratis', 'kuliah', 'gratis', 'behh', 'bisa', 'masuk', 'sekolah', 'impi', 'itu']"
@Karis-b,2025-10-06T11:32:17Z,Jirr semangka setipis tisu😂,Jirr semangka setipis tisu,jirr semangka setipis tisu,jirr semangka setipis tisu,anjing semangka setipis tisu,"['anjing', 'semangka', 'setipis', 'tisu']","['anjing', 'semangka', 'setip', 'tisu']"
@habibi3722,2025-10-06T11:03:10Z,di. daerah Kalimantan Selatan Tabalong.  ayam goreng nya berbau busuk dan  juga  telor ayam aja sepegal. harus nya sekolah 🏫 geratis dan saya  sudah  sakit karena MBG dan aku lapor dengan pakai  kertas  dan. aku tulis. kuah nya. Bikin muntah   <br>dan  ada yang kurang air  langsung di <br>jawab 😡😡🤡 dengan cara pakai air. susu sapi,di. daerah Kalimantan Selatan Tabalong.  ayam goreng nya berbau busuk dan  juga  telor ayam aja sepegal. harus nya sekolah  geratis dan saya  sudah  sakit karena MBG dan aku lapor dengan pakai  kertas  dan. aku tulis. kuah nya. Bikin muntah   dan  ada yang kurang air  langsung di jawab  dengan cara pakai air. susu sapi,di. daerah kalimantan selatan tabalong.  ayam goreng nya berbau busuk dan  juga  telor ayam aja sepegal. harus nya sekolah  geratis dan saya  sudah  sakit karena mbg dan aku lapor dengan pakai  kertas  dan. aku tulis. kuah nya. bikin muntah   dan  ada yang kurang air  langsung di jawab  dengan cara pakai air. susu sapi,di daerah kalimantan selatan tabalong  ayam goreng nya berbau busuk dan  juga  telor ayam aja sepegal harus nya sekolah  geratis dan saya  sudah  sakit karena mbg dan aku lapor dengan pakai  kertas  dan aku tulis kuah nya bikin muntah   dan  ada yang kurang air  langsung di jawab  dengan cara pakai air susu sapi,di daerah kalimantan selatan tabalong ayam goreng ya berbau busuk dan juga telor ayam saja sepegal harus ya sekolah geratis dan aku sudah sakit karena mbak dan aku lapor dengan pakai kertas dan aku tulis kuah ya bikin muntah dan ada yang kurang air langsung di jawab dengan cara pakai air susu sapi,"['di', 'daerah', 'kalimantan', 'selatan', 'tabalong', 'ayam', 'goreng', 'ya', 'berbau', 'busuk', 'dan', 'juga', 'telor', 'ayam', 'saja', 'sepegal', 'harus', 'ya', 'sekolah', 'geratis', 'dan', 'aku', 'sudah', 'sakit', 'karena', 'mbak', 'dan', 'aku', 'lapor', 'dengan', 'pakai', 'kertas', 'dan', 'aku', 'tulis', 'kuah', 'ya', 'bikin', 'muntah', 'dan', 'ada', 'yang', 'kurang', 'air', 'langsung', 'di', 'jawab', 'dengan', 'cara', 'pakai', 'air', 'susu', 'sapi']","['di', 'daerah', 'kalimantan', 'selatan', 'tabalong', 'ayam', 'goreng', 'ya', 'bau', 'busuk', 'dan', 'juga', 'telor', 'ayam', 'saja', 'pegal', 'harus', 'ya', 'sekolah', 'gerat', 'dan', 'aku', 'sudah', 'sakit', 'karena', 'mbak', 'dan', 'aku', 'lapor', 'dengan', 'pakai', 'kertas', 'dan', 'aku', 'tulis', 'kuah', 'ya', 'bikin', 'muntah', 'dan', 'ada', 'yang', 'kurang', 'air', 'langsung', 'di', 'jawab', 'dengan', 'cara', 'pakai', 'air', 'susu', 'sapi']"
@shadow_milk_cookie182,2025-10-06T10:34:07Z,Bang kalo makanan MBG itu ada racunnya atau gmn. Menurut gw sih kita harus manggil panitia nya dulu trs disuruh cicipin kalo itu racun atau gk. Kalau gk yaudah aman<br><br>Edit: sekian terima gaji🗿🙏🙏,Bang kalo makanan MBG itu ada racunnya atau gmn. Menurut gw sih kita harus manggil panitia nya dulu trs disuruh cicipin kalo itu racun atau gk. Kalau gk yaudah amanEdit: sekian terima gaji,bang kalo makanan mbg itu ada racunnya atau gmn. menurut gw sih kita harus manggil panitia nya dulu trs disuruh cicipin kalo itu racun atau gk. kalau gk yaudah amanedit: sekian terima gaji,bang kalo makanan mbg itu ada racunnya atau gmn menurut gw sih kita harus manggil panitia nya dulu trs disuruh cicipin kalo itu racun atau gk kalau gk yaudah amanedit sekian terima gaji,kakak kalau makanan mbak itu ada racunnya atau bagaimana menurut aku sih kita harus manggil panitia ya dulu terus disuruh cicipin kalau itu racun atau tidak kalau tidak yasudah amanedit sekian terima gaji,"['kakak', 'kalau', 'makanan', 'mbak', 'itu', 'ada', 'racunnya', 'atau', 'bagaimana', 'menurut', 'aku', 'sih', 'kita', 'harus', 'manggil', 'panitia', 'ya', 'dulu', 'terus', 'disuruh', 'cicipin', 'kalau', 'itu', 'racun', 'atau', 'tidak', 'kalau', 'tidak', 'yasudah', 'amanedit', 'sekian', 'terima', 'gaji']","['kakak', 'kalau', 'makan', 'mbak', 'itu', 'ada', 'racun', 'atau', 'bagaimana', 'turut', 'aku', 'sih', 'kita', 'harus', 'manggil', 'panitia', 'ya', 'dulu', 'terus', 'suruh', 'cicipin', 'kalau', 'itu', 'racun', 'atau', 'tidak', 'kalau', 'tidak', 'yasudah', 'amanedit', 'sekian', 'terima', 'gaji']"
@kamila-rawr,2025-10-06T07:07:26Z,Semangka Fersi kertas 😂,Semangka Fersi kertas ,semangka fersi kertas ,semangka fersi kertas ,semangka fersi kertas,"['semangka', 'fersi', 'kertas']","['semangka', 'fersi', 'kertas']"
@bimarafqi4998,2025-10-06T07:01:54Z,"indo gitu loh, gedein korup bodo amat anak orang keracunan","indo gitu loh, gedein korup bodo amat anak orang keracunan","indo gitu loh, gedein korup bodo amat anak orang keracunan",indo gitu loh gedein korup bodo amat anak orang keracunan,indonesia begitu loh gedein korup bodoh sekali anak orang keracunan,"['indonesia', 'begitu', 'loh', 'gedein', 'korup', 'bodoh', 'sekali', 'anak', 'orang', 'keracunan']","['indonesia', 'begitu', 'loh', 'gedein', 'korup', 'bodoh', 'sekali', 'anak', 'orang', 'racun']"
@wildaniim543,2025-10-06T06:46:25Z,Udh kecil tipis pula😂,Udh kecil tipis pula,udh kecil tipis pula,udh kecil tipis pula,sudah kecil tipis pula,"['sudah', 'kecil', 'tipis', 'pula']","['sudah', 'kecil', 'tipis', 'pula']"
@Affan.Roblox2,2025-10-06T05:44:56Z,Tapi kalau di aceh emg ada yg makan ikan hiu dan enak,Tapi kalau di aceh emg ada yg makan ikan hiu dan enak,tapi kalau di aceh emg ada yg makan ikan hiu dan enak,tapi kalau di aceh emg ada yg makan ikan hiu dan enak,tapi kalau di aceh memang ada yang makan ikan hiu dan enak,"['tapi', 'kalau', 'di', 'aceh', 'memang', 'ada', 'yang', 'makan', 'ikan', 'hiu', 'dan', 'enak']","['tapi', 'kalau', 'di', 'aceh', 'memang', 'ada', 'yang', 'makan', 'ikan', 'hiu', 'dan', 'enak']"
@UdinDin-v1i2l,2025-10-06T05:08:36Z,Hiu goreng😂😂😂😂,Hiu goreng,hiu goreng,hiu goreng,hiu goreng,"['hiu', 'goreng']","['hiu', 'goreng']"
@Pogapaskill,2025-10-06T03:44:35Z,"Biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya DPRD,kepala dinas dsb) sekalian ngambil untung","Biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya DPRD,kepala dinas dsb) sekalian ngambil untung","biasanya pelaksana ini ada sodara dari pemerintah setempat (bisa saja sodaranya dprd,kepala dinas dsb) sekalian ngambil untung",biasanya pelaksana ini ada sodara dari pemerintah setempat bisa saja sodaranya dprdkepala dinas dsb sekalian ngambil untung,biasanya pelaksana ini ada sodara dari pemerintah setempat bisa saja sodaranya dprdkepala dinas dsb sekalian ngambil untung,"['biasanya', 'pelaksana', 'ini', 'ada', 'sodara', 'dari', 'pemerintah', 'setempat', 'bisa', 'saja', 'sodaranya', 'dprdkepala', 'dinas', 'dsb', 'sekalian', 'ngambil', 'untung']","['biasa', 'laksana', 'ini', 'ada', 'sodara', 'dari', 'perintah', 'tempat', 'bisa', 'saja', 'sodaranya', 'dprdkepala', 'dinas', 'dsb', 'sekali', 'ngambil', 'untung']"
@AditSaya-lo7jj,2025-10-06T03:30:50Z,"Buset semangka aj d korupsi, hadehh.","Buset semangka aj d korupsi, hadehh.","buset semangka aj d korupsi, hadehh.",buset semangka aj d korupsi hadehh,buset semangka saja di korupsi hadehh,"['buset', 'semangka', 'saja', 'di', 'korupsi', 'hadehh']","['buset', 'semangka', 'saja', 'di', 'korupsi', 'hadehh']"
@ArthurYohanes,2025-10-06T01:45:07Z,Makanan bergizi gratis❎<br>Makanan beracun gratis✅,Makanan bergizi gratisMakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,makanan bergizi gratismakanan beracun gratis,"['makanan', 'bergizi', 'gratismakanan', 'beracun', 'gratis']","['makan', 'gizi', 'gratismakanan', 'racun', 'gratis']"
@renoroo25,2025-10-06T01:05:52Z,Sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,Sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin udh cukup benar tetapi dari si pihak panitia mungkin yg membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,sepertinya memang dari atasan mungkin sudah cukup benar tetapi dari sih pihak panitia mungkin yang membuat sebuah masalah entah dananya dipangkas habis habisan atau semacamnya,"['sepertinya', 'memang', 'dari', 'atasan', 'mungkin', 'sudah', 'cukup', 'benar', 'tetapi', 'dari', 'sih', 'pihak', 'panitia', 'mungkin', 'yang', 'membuat', 'sebuah', 'masalah', 'entah', 'dananya', 'dipangkas', 'habis', 'habisan', 'atau', 'semacamnya']","['seperti', 'memang', 'dari', 'atas', 'mungkin', 'sudah', 'cukup', 'benar', 'tetapi', 'dari', 'sih', 'pihak', 'panitia', 'mungkin', 'yang', 'buat', 'buah', 'masalah', 'entah', 'dana', 'pangkas', 'habis', 'habis', 'atau', 'macam']"
@ChipungKecemplung,2025-10-06T00:27:24Z,WOWO GENDUT BIKIN PROGRAM KERACUNAN MASSAL... PARAH BNGET.. BELAJAR DULU WO SAMA PRESIDEN CHINA GIMANA CARANYA JADI KEPALA NEGARA..,WOWO GENDUT BIKIN PROGRAM KERACUNAN MASSAL... PARAH BNGET.. BELAJAR DULU WO SAMA PRESIDEN CHINA GIMANA CARANYA JADI KEPALA NEGARA..,wowo gendut bikin program keracunan massal... parah bnget.. belajar dulu wo sama presiden china gimana caranya jadi kepala negara..,wowo gendut bikin program keracunan massal parah bnget belajar dulu wo sama presiden china gimana caranya jadi kepala negara,wowo gendut bikin program keracunan massal parah sekali belajar dulu wo sama presiden china bagaimana caranya jadi kepala negara,"['wowo', 'gendut', 'bikin', 'program', 'keracunan', 'massal', 'parah', 'sekali', 'belajar', 'dulu', 'wo', 'sama', 'presiden', 'china', 'bagaimana', 'caranya', 'jadi', 'kepala', 'negara']","['wowo', 'gendut', 'bikin', 'program', 'racun', 'massal', 'parah', 'sekali', 'ajar', 'dulu', 'wo', 'sama', 'presiden', 'china', 'bagaimana', 'cara', 'jadi', 'kepala', 'negara']"
@hansalwaysstayhalal__4608,2025-10-06T00:22:16Z,Prabowo kon 🗿😎,Prabowo kon ,prabowo kon ,prabowo kon ,prabowo kon,"['prabowo', 'kon']","['prabowo', 'kon']"
@BertodParker,2025-10-05T23:58:38Z,program jangka 5 tahun😏,program jangka  tahun,program jangka  tahun,program jangka  tahun,program jangka tahun,"['program', 'jangka', 'tahun']","['program', 'jangka', 'tahun']"
@mjgaminkv2542,2025-10-05T23:02:15Z,korupsi 😂,korupsi ,korupsi ,korupsi ,korupsi,['korupsi'],['korupsi']
